,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Belal Halbouni,sy SYR,DF,24-302,3,2,168,1.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,9,1,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches
Édier Ocampo,co COL,DF,FW,21-023,6,1,177,2.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,8,1,18,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
Giuseppe Bovalina,au AUS,DF,FW,19-350,11,1,173,1.9,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.5,3,2,16,0.00,0.00,0.00,0.00,0.00,0.23,0.02,0.25,0.23,0.25,Matches
Stuart Armstrong,sct SCO,MF,FW,32-210,6,1,128,1.4,1,0,1,1,0,0,1,0,0.4,0.4,0.6,1.0,3,10,11,0.70,0.00,0.70,0.70,0.70,0.31,0.42,0.73,0.31,0.73,Matches
Deiber Caicedo,co COL,FW,DF,24-215,5,1,126,1.4,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,9,9,17,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.54,0.54,0.54,Matches
Isaac Boehmer,us USA,GK,22-341,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nicolas Fleuriau,ca CAN,DF,FW,22-158,2,0,40,0.4,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,1,0,1,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.59,0.59,0.59,Matches
Jay Herdman,nz NZL,FW,20-073,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches
Cyprian Kachwele,tz TAN,MF,19-254,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jeevan Badwal,ca CAN,MF,18-229,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Joe Bendik,us USA,GK,35-184,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.4,34,374,3,060,34.0,50,36,86,48,2,3,67,3,49.4,47.1,37.6,84.7,442,1258,1251,1.47,1.06,2.53,1.41,2.47,1.45,1.11,2.56,1.38,2.49,
Opponent Total,,,27.8,34,374,3,060,34.0,47,32,79,42,5,6,71,4,44.6,40.4,32.2,72.7,576,1436,1424,1.38,0.94,2.32,1.24,2.18,1.31,0.95,2.26,1.19,2.14,
