,Playing Time,Performance,Penalty Kicks,
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Yohei Takaoka,jp JPN,GK,28-224,33,33,2,970,33.0,47,1.42,132,85,68.2,13,8,12,7,21.2,6,5,1,0,16.7,Matches
Isaac Boehmer,us USA,GK,22-341,1,1,90,1.0,2,2.00,6,5,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,27.4,34,34,3,060,34.0,49,1.44,138,90,68.1,13,8,13,7,20.6,6,5,1,0,16.7,
Opponent Total,,,27.8,34,34,3,060,34.0,52,1.53,142,92,64.8,13,8,13,7,20.6,3,2,0,1,0.0,
