,SCA 1,SCA 2
,SCA 1,SCA 2
Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
24,Ryan Gauld,Vancouver W'caps,0.19,,Off Target,9,Head,,Alessandro Schöpf,Pass (Live),Fafà Picault,Pass (Live)
24,Ryan Gauld,Vancouver W'caps,0.05,,Blocked,15,Right Foot,,Alessandro Schöpf,Pass (Live),Fafà Picault,Pass (Live)
25,Mathías Laborda,Vancouver W'caps,0.46,0.98,Goal,9,Right Foot,,Brian White,Pass (Live),Mathías Laborda,Pass (Live)
29,Brian White,Vancouver W'caps,0.39,0.57,Goal,6,Head,,Fafà Picault,Pass (Live),Ryan Gauld,Pass (Live)
42,Fafà Picault,Vancouver W'caps,0.07,0.39,Goal,11,Head,,Ryan Raposo,Pass (Live),Ryan Raposo,Take-On
,,,,,,,,,,,,
68,Sebastian Berhalter,Vancouver W'caps,0.13,,Off Target,9,Head,,Luís Martins,Pass (Live),Ryan Gauld,Pass (Live)
