,SCA 1,SCA 2
,SCA 1,SCA 2
Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
4,Brian White,Vancouver W'caps,0.95,0.95,Goal,6,Left Foot,,Ryan Gauld,Pass (Live),,
16,Bjørn Inge Utvik,Vancouver W'caps,0.05,,Off Target,10,Head,,Sebastian Berhalter,Pass (Dead),,
17,Mathías Laborda,Vancouver W'caps,0.30,0.63,Goal,8,Head,,Ryan Gauld,Pass (Live),Sebastian Berhalter,Pass (Live)
41,Sebastian Berhalter,Vancouver W'caps,0.04,,Off Target,27,Right Foot,Free kick,,Fouled,Ranko Veselinović,Pass (Live)
,,,,,,,,,,,,
60,Sebastian Berhalter,Vancouver W'caps,0.02,0.27,Goal,27,Right Foot,,Ryan Gauld,Pass (Live),Alessandro Schöpf,Pass (Live)
78,Ranko Veselinović,Vancouver W'caps,0.01,,Off Target,11,Head,,Sebastian Berhalter,Pass (Dead),,
90+3,Giuseppe Bovalina,Vancouver W'caps,0.03,,Off Target,24,Left Foot,,Javain Brown,Pass (Dead),,
