,SCA 1,SCA 2
,SCA 1,SCA 2
Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
34,Damir Kreilach,Vancouver W'caps,0.05,0.33,Saved,10,Head,,Ryan Gauld,Pass (Dead),,
,,,,,,,,,,,,
60,Brian White,Vancouver W'caps,0.09,,Blocked,16,Left Foot,,Brian White,Take-On,Ryan Gauld,Pass (Live)
74,Alessandro Schöpf,Vancouver W'caps,0.03,0.13,Goal,23,Right Foot,,Ranko Veselinović,Pass (Live),Mathías Laborda,Pass (Live)
76,Brian White,Vancouver W'caps,0.31,,Off Target,13,Right Foot,,Ryan Gauld,Pass (Live),Brian White,Pass (Live)
78,Fafà Picault,Vancouver W'caps,0.05,,Blocked,18,Right Foot,,Ryan Gauld,Pass (Live),Ali Ahmed,Pass (Live)
86,Ali Ahmed,Vancouver W'caps,0.04,0.57,Goal,15,Right Foot,,Ali Ahmed,Take-On,Ranko Veselinović,Pass (Dead)
89,Ryan Raposo,Vancouver W'caps,0.09,,Blocked,11,Right Foot,,Alessandro Schöpf,Pass (Live),Ryan Gauld,Pass (Live)
89,Ali Ahmed,Vancouver W'caps,0.02,,Off Target,24,Right Foot,Volley,Ryan Gauld,Pass (Dead),Ryan Raposo,Shot
