,SCA 1,SCA 2
,SCA 1,SCA 2
Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
17,Paul Marie,SJ Earthquakes,0.53,0.28,Saved,9,Right Foot,,Benjamin Kikanovic,Pass (Live),Cristian Espinoza,Pass (Live)
33,Niko Tsakiris,SJ Earthquakes,0.05,0.11,Saved,21,Right Foot,,Hernán López Muñoz,Pass (Live),Niko Tsakiris,Pass (Live)
39,Cristian Espinoza,SJ Earthquakes,0.05,0.00,Blocked,16,Right Foot,,Preston Judd,Pass (Live),Cristian Espinoza,Pass (Live)
,,,,,,,,,,,,
79,Amahl Pellegrino,SJ Earthquakes,0.04,0.00,Blocked,16,Right Foot,,Cristian Espinoza,Pass (Live),Alfredo Morales,Pass (Live)
90+1,Ousseni Bouda,SJ Earthquakes,0.35,0.00,Off Target,5,Head,,Amahl Pellegrino,Pass (Live),Cristian Espinoza,Pass (Live)
