,SCA 1,SCA 2
,SCA 1,SCA 2
Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
15,Levonte Johnson,Vancouver W'caps,0.05,,Blocked,17,Right Foot,,Ali Ahmed,Pass (Live),Andrés Cubas,Pass (Live)
15,Pedro Vite,Vancouver W'caps,0.03,0.05,Saved,24,Left Foot,,Ryan Gauld,Pass (Live),Ali Ahmed,Pass (Live)
18,Ranko Veselinović,Vancouver W'caps,0.06,,Off Target,9,Head,,Ryan Gauld,Pass (Dead),Brian White,Pass (Live)
26,Luís Martins,Vancouver W'caps,0.01,,Off Target,24,Left Foot,Volley,Levonte Johnson,Pass (Live),Ryan Gauld,Pass (Live)
27,Pedro Vite,Vancouver W'caps,0.03,,Off Target,26,Left Foot,,Ryan Gauld,Pass (Live),Brian White,Pass (Live)
39,Levonte Johnson,Vancouver W'caps,0.38,0.41,Saved,11,Left Foot,,Levonte Johnson,Take-On,Yohei Takaoka,Pass (Dead)
45+6,Levonte Johnson,Vancouver W'caps,0.03,,Off Target,23,Right Foot,,Ryan Gauld,Pass (Live),Andrés Cubas,Pass (Live)
,,,,,,,,,,,,
76,Brian White,Vancouver W'caps,0.07,,Off Target,26,Right Foot,,Tristan Blackmon,Pass (Live),Ali Ahmed,Pass (Live)
